ele,time,name,xcoord,ycoord,zcoord
0.589836,23-04-2025 01:39,583,73.917793,15.213131,0.589836
1.057335,23-04-2025 01:42,584,73.919508,15.219946,1.057335
-0.923058,23-04-2025 01:46,585,73.922861,15.227714,-0.923058
1.003044,23-04-2025 01:50,586,73.916789,15.234839,1.003044
-0.747688,23-04-2025 01:54,587,73.908951,15.23945,-0.747688
0.259995,23-04-2025 01:57,588,73.90343,15.242264,0.259995
0.397911,23-04-2025 01:58,589,73.903857,15.244007,0.397911
0.171059,23-04-2025 02:04,590,73.903859,15.256087,0.171059
0.817482,23-04-2025 02:07,591,73.902987,15.262237,0.817482
1.328506,23-04-2025 02:11,592,73.902595,15.27099,1.328506
0.100647,23-04-2025 02:15,593,73.904528,15.279682,0.100647
2.048058,23-04-2025 02:20,594,73.898876,15.285678,2.048058
0.664124,23-04-2025 02:24,595,73.890681,15.289246,0.664124
1.44873,23-04-2025 02:28,596,73.88449,15.295084,1.44873
-0.640556,23-04-2025 02:32,597,73.886198,15.303246,-0.640556
-1.662758,23-04-2025 02:37,598,73.888222,15.313381,-1.662758
0.717369,23-04-2025 02:40,599,73.890488,15.320398,0.717369
2.26844,23-04-2025 02:40,600,73.890889,15.321452,2.26844
1.14444,23-04-2025 02:44,601,73.888378,15.326625,1.14444
0.899208,23-04-2025 02:48,602,73.879957,15.329278,0.899208
-1.333015,23-04-2025 02:56,603,73.873669,15.34308,-1.333015
-0.741104,23-04-2025 03:01,604,73.874034,15.352571,-0.741104
-0.497604,23-04-2025 03:04,605,73.874233,15.358478,-0.497604
-0.380295,23-04-2025 03:05,606,73.874563,15.361919,-0.380295
1.601547,23-04-2025 03:10,607,73.866752,15.364322,1.601547
0.181931,23-04-2025 03:14,608,73.858794,15.362271,0.181931
2.417725,23-04-2025 03:19,609,73.849989,15.359628,2.417725
2.070091,23-04-2025 03:19,610,73.84982,15.359591,2.070091
1.276878,23-04-2025 03:28,611,73.831875,15.356052,1.276878
-0.884476,23-04-2025 03:33,612,73.822981,15.361408,-0.884476
1.230431,23-04-2025 03:42,613,73.810652,15.372593,1.230431
4.294281,23-04-2025 03:47,614,73.801813,15.376929,4.294281
0.633224,23-04-2025 03:50,615,73.798609,15.381044,0.633224
2.057991,23-04-2025 03:52,616,73.797192,15.384636,2.057991
4.395264,23-04-2025 03:56,617,73.793175,15.39145,4.395264
4.69342,23-04-2025 04:01,618,73.784626,15.395149,4.69342
3.540245,23-04-2025 04:06,619,73.776478,15.401112,3.540245
2.981194,23-04-2025 04:10,620,73.770313,15.404174,2.981194
4.093063,23-04-2025 04:15,621,73.765478,15.410677,4.093063
0.542007,23-04-2025 04:21,622,73.772357,15.419623,0.542007
1.32608,23-04-2025 04:25,623,73.777699,15.424136,1.32608
1.456116,23-04-2025 04:29,624,73.786381,15.426853,1.456116
2.006912,23-04-2025 04:33,625,73.794784,15.430383,2.006912
1.902275,23-04-2025 04:38,626,73.804173,15.431169,1.902275
1.278694,23-04-2025 04:42,627,73.810376,15.436185,1.278694
4.255165,23-04-2025 04:44,628,73.815143,15.439472,4.255165
5.054161,23-04-2025 04:46,629,73.819223,15.441801,5.054161
3.797371,23-04-2025 04:50,630,73.815729,15.44478,3.797371
3.894028,23-04-2025 04:54,631,73.806508,15.447186,3.894028
2.672661,23-04-2025 04:59,632,73.794391,15.449176,2.672661
5.97242,23-04-2025 05:02,633,73.788961,15.451192,5.97242
2.682106,23-04-2025 05:05,634,73.781516,15.455158,2.682106
4.65522,23-04-2025 05:10,635,73.782588,15.464388,4.65522
5.512169,23-04-2025 05:13,636,73.791014,15.465865,5.512169
6.384651,23-04-2025 05:15,637,73.794707,15.463433,6.384651
2.21962,24-04-2025 01:35,638,73.798189,15.462452,2.21962
4.335159,24-04-2025 01:40,639,73.791604,15.469256,4.335159
2.837837,24-04-2025 01:44,640,73.783132,15.469348,2.837837
0.487518,24-04-2025 01:48,641,73.774063,15.470817,0.487518
0.667442,24-04-2025 01:49,642,73.771938,15.471034,0.667442
2.123123,24-04-2025 01:53,643,73.764881,15.47172,2.123123
2.057335,24-04-2025 01:58,644,73.763919,15.475996,2.057335
2.300125,24-04-2025 02:03,645,73.763878,15.485881,2.300125
0.94471,24-04-2025 02:07,646,73.76267,15.494459,0.94471
0.462151,24-04-2025 02:11,647,73.755772,15.498436,0.462151
-0.434471,24-04-2025 02:15,648,73.751437,15.504689,-0.434471
0.305382,24-04-2025 02:19,649,73.756624,15.512123,0.305382
0.143623,24-04-2025 02:21,650,73.759221,15.515121,0.143623
-2.590889,24-04-2025 02:28,651,73.753509,15.524435,-2.590889
0.375061,24-04-2025 02:29,652,73.751267,15.52647,0.375061
-0.106331,24-04-2025 02:30,653,73.749742,15.528722,-0.106331
-1.430725,24-04-2025 02:31,654,73.748125,15.53056,-1.430725
-0.407982,24-04-2025 02:32,655,73.747194,15.532145,-0.407982
1.744225,24-04-2025 02:33,656,73.746288,15.533679,1.744225
1.545738,24-04-2025 02:34,657,73.74521,15.535502,1.545738
0.884148,24-04-2025 02:35,658,73.74463,15.537105,0.884148
2.126427,24-04-2025 02:37,659,73.744223,15.539995,2.126427
1.461998,24-04-2025 02:38,660,73.745135,15.540661,1.461998
0.383018,24-04-2025 02:40,661,73.744438,15.544078,0.383018
0.872803,24-04-2025 02:41,662,73.744844,15.547242,0.872803
0.736359,24-04-2025 02:43,663,73.74582,15.551513,0.736359
2.034531,24-04-2025 02:48,664,73.744958,15.558381,2.034531
0.991051,24-04-2025 02:53,665,73.735027,15.5645,0.991051
0.420914,24-04-2025 02:55,666,73.731778,15.56597,0.420914
2.261177,24-04-2025 02:59,667,73.727931,15.572896,2.261177
2.384575,24-04-2025 03:04,668,73.729915,15.581737,2.384575
0.805893,24-04-2025 03:09,669,73.729323,15.593152,0.805893
0.808441,24-04-2025 03:13,670,73.722708,15.598403,0.808441
1.865822,24-04-2025 03:17,671,73.719228,15.603077,1.865822
-0.055542,24-04-2025 03:19,672,73.719461,15.607338,-0.055542
0.627945,24-04-2025 03:21,673,73.719772,15.611577,0.627945
1.016151,24-04-2025 03:27,674,73.721502,15.621957,1.016151
-0.411888,24-04-2025 03:30,675,73.720827,15.628689,-0.411888
0.898857,24-04-2025 03:33,676,73.717022,15.630937,0.898857
1.65107,24-04-2025 03:33,677,73.715573,15.631716,1.65107
2.514046,24-04-2025 03:34,678,73.71384,15.6321,2.514046
-0.625961,24-04-2025 03:36,679,73.710778,15.634196,-0.625961
0.047333,24-04-2025 03:40,680,73.707169,15.639524,0.047333
1.182243,24-04-2025 03:52,681,73.708373,15.64794,1.182243
3.198753,24-04-2025 03:56,682,73.71012,15.656652,3.198753
3.124847,24-04-2025 04:00,683,73.705402,15.661611,3.124847
2.209023,24-04-2025 04:01,684,73.704724,15.662018,2.209023
1.206467,24-04-2025 04:03,685,73.701881,15.664043,1.206467
1.253319,24-04-2025 04:05,686,73.698041,15.667936,1.253319
1.155724,24-04-2025 04:12,687,73.691163,15.674207,1.155724
0.745964,24-04-2025 04:17,688,73.690975,15.682558,0.745964
2.129768,24-04-2025 04:24,689,73.694938,15.69099,2.129768
3.654449,24-04-2025 04:28,690,73.691421,15.695049,3.654449
3.67186,24-04-2025 04:33,691,73.68204,15.698329,3.67186
2.650917,24-04-2025 04:37,692,73.677061,15.701859,2.650917
2.189743,24-04-2025 04:41,693,73.680514,15.709139,2.189743
2.646507,24-04-2025 04:43,694,73.682417,15.712895,2.646507
2.230453,24-04-2025 04:44,695,73.683911,15.714567,2.230453
2.433128,24-04-2025 04:46,696,73.685951,15.711923,2.433128
2.705345,24-04-2025 04:50,697,73.690031,15.704732,2.705345
